,P_resultante,P_sc,P_pv,Tiempo [m]
318,4.49995,-4.999999999988347e-05,4.5,0.53
319,4.49995,-4.999999999988347e-05,4.5,0.5316666666666666
320,4.49995,-4.999999999988347e-05,4.5,0.5333333333333333
321,4.49995,-4.999999999988347e-05,4.5,0.535
322,4.49995,-4.999999999988347e-05,4.5,0.5366666666666666
323,4.49995,-4.999999999988347e-05,4.5,0.5383333333333333
324,4.49995,-4.999999999988347e-05,4.5,0.54
325,4.49995,-4.999999999988347e-05,4.5,0.5416666666666666
326,4.49995,-4.999999999988347e-05,4.5,0.5433333333333333
327,4.49995,-4.999999999988347e-05,4.5,0.545
328,4.49995,-4.999999999988347e-05,4.5,0.5466666666666666
329,4.49995,-4.999999999988347e-05,4.5,0.5483333333333333
330,4.49995,-4.999999999988347e-05,4.5,0.55
331,4.49995,-4.999999999988347e-05,4.5,0.5516666666666666
332,4.49995,-4.999999999988347e-05,4.5,0.5533333333333333
333,4.49995,-4.999999999988347e-05,4.5,0.555
334,4.49995,-4.999999999988347e-05,4.5,0.5566666666666666
335,4.49995,-4.999999999988347e-05,4.5,0.5583333333333333
336,4.49995,-4.999999999988347e-05,4.5,0.56
337,4.49995,-4.999999999988347e-05,4.5,0.5616666666666666
338,4.49995,-4.999999999988347e-05,4.5,0.5633333333333334
339,4.49995,-4.999999999988347e-05,4.5,0.565
340,4.49995,-4.999999999988347e-05,4.5,0.5666666666666667
341,4.49995,-4.999999999988347e-05,4.5,0.5683333333333334
342,4.49995,-4.999999999988347e-05,4.5,0.57
343,4.49995,-4.999999999988347e-05,4.5,0.5716666666666667
344,4.49995,-4.999999999988347e-05,4.5,0.5733333333333334
345,4.49995,-4.999999999988347e-05,4.5,0.575
346,4.49995,-4.999999999988347e-05,4.5,0.5766666666666667
347,4.49995,-4.999999999988347e-05,4.5,0.5783333333333334
348,4.49995,-4.999999999988347e-05,4.5,0.58
349,4.49995,-4.999999999988347e-05,4.5,0.5816666666666667
350,4.49995,-4.999999999988347e-05,4.5,0.5833333333333334
351,4.49995,-4.999999999988347e-05,4.5,0.585
352,4.49995,-4.999999999988347e-05,4.5,0.5866666666666667
353,4.49995,-4.999999999988347e-05,4.5,0.5883333333333334
354,4.49995,-4.999999999988347e-05,4.5,0.59
355,4.49995,-4.999999999988347e-05,4.5,0.5916666666666667
356,4.49995,-4.999999999988347e-05,4.5,0.5933333333333334
357,4.48574,-4.999999999988347e-05,4.48579,0.595
358,4.465373266666666,-1.6733333334073563e-05,4.46539,0.5966666666666667
359,4.444965133333333,-1.486666666750125e-05,4.44498,0.5983333333333334
360,4.424556933333332,-1.3066666667782556e-05,4.42457,0.6
361,4.404148733333332,-1.1266666668063863e-05,4.40416,0.6016666666666667
362,4.383740533333332,-9.46666666834517e-06,4.38375,0.6033333333333334
363,4.363332333333331,-7.666666668626476e-06,4.36334,0.605
364,4.342932333333331,-7.666666668626476e-06,4.34294,0.6066666666666667
365,4.3225241999999975,-5.80000000294234e-06,4.32253,0.6083333333333333
366,4.302115999999997,-4.000000003223647e-06,4.30212,0.61
367,4.299995999999997,-4.000000003223647e-06,4.3,0.6116666666666667
368,4.299995999999997,-4.000000003223647e-06,4.3,0.6133333333333333
369,4.299995999999997,-4.000000003223647e-06,4.3,0.615
370,4.299995999999997,-4.000000003223647e-06,4.3,0.6166666666666667
371,4.311045999999997,-4.000000003223647e-06,4.31105,0.6183333333333333
372,4.323375999999997,-4.000000003223647e-06,4.32338,0.62
373,4.3357059999999965,-4.000000003223647e-06,4.33571,0.6216666666666667
374,4.348025999999996,-4.000000003223647e-06,4.34803,0.6233333333333333
375,4.360355999999997,-4.000000003223647e-06,4.36036,0.625
376,4.372685999999997,-4.000000003223647e-06,4.37269,0.6266666666666667
377,4.385015999999997,-4.000000003223647e-06,4.38502,0.6283333333333333
378,4.3899959999999965,-4.000000003223647e-06,4.39,0.63
379,4.3899959999999965,-4.000000003223647e-06,4.39,0.6316666666666667
380,4.3899959999999965,-4.000000003223647e-06,4.39,0.6333333333333333
381,4.3899959999999965,-4.000000003223647e-06,4.39,0.635
382,4.3899959999999965,-4.000000003223647e-06,4.39,0.6366666666666667
383,4.3899959999999965,-4.000000003223647e-06,4.39,0.6383333333333333
384,4.3899959999999965,-4.000000003223647e-06,4.39,0.64
385,4.3899959999999965,-4.000000003223647e-06,4.39,0.6416666666666667
386,4.3899959999999965,-4.000000003223647e-06,4.39,0.6433333333333333
387,4.3899959999999965,-4.000000003223647e-06,4.39,0.645
388,4.3899959999999965,-4.000000003223647e-06,4.39,0.6466666666666666
389,4.3899959999999965,-4.000000003223647e-06,4.39,0.6483333333333333
390,4.3899959999999965,-4.000000003223647e-06,4.39,0.65
391,4.3899959999999965,-4.000000003223647e-06,4.39,0.6516666666666666
392,4.3899959999999965,-4.000000003223647e-06,4.39,0.6533333333333333
393,4.3899959999999965,-4.000000003223647e-06,4.39,0.655
394,4.3899959999999965,-4.000000003223647e-06,4.39,0.6566666666666666
395,4.3899959999999965,-4.000000003223647e-06,4.39,0.6583333333333333
396,4.3899959999999965,-4.000000003223647e-06,4.39,0.66
397,4.3899959999999965,-4.000000003223647e-06,4.39,0.6616666666666666
